State,City,Type_of_facilities,Address
NEW YORK STATE,NEW YORK CITY,POINTS OF INTEREST IN NEW YORK CITY,"THE AQUARIUM, located at the Battery, can be reached by all subway and elevated lines. The exhibit includes all kinds of fish, both salt and fresh water also invertebrates. Open daily: hours 9 to 5 P. M. April to September, and 9 A. M. to 4 P. M. October to March. The admission is free. The New York Aquarium is probably the largest in the world and has the largest collection of fish. It contains 7 large pools and 144 glass fronted aquarias."
NEW YORK STATE,NEW YORK CITY,POINTS OF INTEREST IN NEW YORK CITY,"COOPER UNION-MUSEUM FOR THE ARTS OF DECORATION,  Cooper Square at 7th St., Open daily except Sundays, 10 - 5., evenings, Oct. 1 - 6:30 - 9:30 Except Saturdays and Sundays. Free."
NEW YORK STATE,NEW YORK CITY,POINTS OF INTEREST IN NEW YORK CITY,"CLOISTERS,  The Branch of Metropolitan Museum of Art, Fort Tyron Park. Hrs: 10 - 5., Sundays 1 - 6., Closed Christmas Morning. Free except Mon. and Fri. 25c. Hrs. 8 to dusk; Sundays and Holidays 10 to dusk; Library closed on Sat., July"
NEW YORK STATE,NEW YORK CITY,POINTS OF INTEREST IN NEW YORK CITY,"NEW YORK ZOOLOGICAL PARK,  Bronx Park - Hrs. 10 to dusk every day. Free except Mondays and Thursday Adults 25c, Children 15c."
NEW YORK STATE,NEW YORK CITY,POINTS OF INTEREST IN NEW YORK CITY,"NEW YORK BOTANICAL GARDEN,  East of 200th St., and Webster Avenue. Hrs. March 1 to November 1, 10 to 5; November to March 1, 10 to 4:30."
NEW YORK STATE,NEW YORK CITY,POINTS OF INTEREST IN NEW YORK CITY,"NEW YORK MUSEUM OF SCIENCE AND INDUSTRY,  R. C. A. Bldg., Rockefeller Center. Hrs: 10 to 10 every day. Adults 25c., Children 10c."
NEW YORK STATE,NEW YORK CITY,POINTS OF INTEREST IN NEW YORK CITY,"AMERICAN MUSEUM OF NATURAL HISTORY,  Central Park West at 79th St. Hrs: 9 to 5; Sunday 1 to 5. Free"
NEW YORK STATE,NEW YORK CITY,POINTS OF INTEREST IN NEW YORK CITY,"AMERICAN GEOGRAPHICAL SOCIETY,  Broadway at 156th St. Hrs: 9 to 4:45 Closed Sundays and Holidays: and on Saturdays during the summer."
NEW YORK STATE,NEW YORK CITY,POINTS OF INTEREST IN NEW YORK CITY,"MUSEUM OF THE CITY OF NEW YORK,  Fifth Avenue at 104th St. Hrs:    10 - 5, Sundays 1 - 5. Closed Tuesdays. Free except Mondays 25c."
NEW YORK STATE,NEW YORK CITY,POINTS OF INTEREST IN NEW YORK CITY,"MUSEUM OF THE NUMISMATIC SOCIETY, Broadway between 155th - 156th Sts. Hrs: 2 - 5 Daily and Sundays. Closed July 16 to Sept., 1, Free."
NEW YORK STATE,NEW YORK CITY,POINTS OF INTEREST IN NEW YORK CITY,"MUSEUM OF THE AMERICAN INDIAN,  Heye Foundation, Broadway at 155th St. Hrs. 2 - 5. Closed Sundays, Holidays and through July and August."
NEW YORK STATE,NEW YORK CITY,POINTS OF INTEREST IN NEW YORK CITY,"HAMILTON GRANGE,  287 Convent Avenue. Hrs: 10 - 5; Saturdays 10 - 1. Closed Sundays and Holidays. Free"
NEW YORK STATE,NEW YORK CITY,POINTS OF INTEREST IN NEW YORK CITY,"WHITNEY MUSEUM OF AMERICAN ART,  10 West 8th St. Hrs. Tuesday to Friday, 1 - 5; Saturday and Sunday 2 - 6. Closed Mondays and Midsummer Months. Reopens about September 15. Free"
NEW YORK STATE,NEW YORK CITY,POINTS OF INTEREST IN NEW YORK CITY,"PIERPONT MORGAN LIBRARY, 33   East 36th St. Hrs: Main Bldg., Tues. and Thusdays, 11 - 4; Exhibition Room, Daily 10 - 5. Closed Sundays, Holidays and July 1 to Sept. 7. Free."
NEW YORK STATE,NEW YORK CITY,POINTS OF INTEREST IN NEW YORK CITY,"MUSEUM OF LIVING ART,  Fifth Avenue at 82nd St. Hrs. - 10 - 5, Sundays 1 - 6., Closed Christmas Morning. Free except Mondays and Fridays. 25c."
NEW YORK STATE,NEW YORK CITY,POINTS OF INTEREST IN NEW YORK CITY,"FRICK COLLECTION, 1 East 70th St. Hrs., Sundays and Holidays 1 - 5. Closed Mondays, Decoration Day, July 4th, Month of August and Christmas. Free."
NEW YORK STATE,NEW YORK CITY,POINTS OF INTEREST IN NEW YORK CITY,"CONEY ISLAND,  New York's own seaside recreation resort is ten miles from New York City. Here one will find bathing and all sorts of open air amusements"
NEW YORK STATE,NEW YORK CITY,POINTS OF INTEREST IN NEW YORK CITY,"BROOKLYN MUSEUM  Eastern Parkway and Washington Avenue, Brooklyn. Hrs: 10 - 5., Sundays 2 - 6., Free except Mon. and Fri. Adults 25c Children 10c."
NEW YORK STATE,NEW YORK CITY,POINTS OF INTEREST IN NEW YORK CITY,"BROOKLYN BOTANIC GARDEN,  1000 Washington Ave., Brooklyn; Garden Hrs. 8 to dusk; Sundays and Holidays 10 to dusk; Library closed on Sat., July 15 - Sept. 15. Hrs; Mon. to Fri 9 - 5., Saturdays 9 - 12. Free."
NEW YORK STATE,NEW YORK CITY,POINTS OF INTEREST IN NEW YORK CITY,THE EMPIRE STATE BUILDING is the tallest office building in the world and is situated at 5th Avenue between 33rd and 34th Streets. The site is nearly 2 acres and rises 102 stories above the ground and is 2 stories under the ground. It houses more than 25.000 tenants. Its elevators rise at the tremendous speed of 200 feet per second. While its express cars carry one to the 80th floor in one minute.
NEW YORK STATE,NEW YORK CITY,POINTS OF INTEREST IN NEW YORK CITY,ELLIS ISLAND is the first landing place of the immigrant and is located in the upper bay of New York harbor. This island may be visited by securing a pass from the Commissioner of Immigration.
NEW YORK STATE,NEW YORK CITY,POINTS OF INTEREST IN NEW YORK CITY,"CATHEDRAL OF ST. JOHN THE DIVINE, located at Amsterdam Avenue 110th to 113th Streets, is America's greatest church edifice. When completed it will be the largest Gothic Cathedral in the world. The seating capacity is 15,000 and room for 40,000 standing. It has been in the building for the last 61 years the corner stone being laid in 1892. Visitors are always welcome and services are held practically all day."
NEW YORK STATE,NEW YORK CITY,POINTS OF INTEREST IN NEW YORK CITY,"THE GEORGE WASHINGTON BRIDGE, over the Hudson River, is the longest suspension bridge in the East, connecting New York City at 179th Street and Fort Lee, N. J. It is used by millions of people annualy, and is the Northern route to motorists going South from the North. Its towers, which stand 80 feet higher than the Washington Monument can be seen for miles around. The New York Tower has the ""Will Rogers Mem-orial Beacon,"" which serves as a guide to aviators."
NEW YORK STATE,NEW YORK CITY,POINTS OF INTEREST IN NEW YORK CITY,"THE THEATRICAL DISTRICT OF NEW YORK, where all of the largest and best plays are staged and produced, is located in the heart of the city. Here you will find the largest and best showhouses in the world from 39th to 52nd Streets and 8th to 6th Ave."
NEW YORK STATE,NEW YORK CITY,POINTS OF INTEREST IN NEW YORK CITY,"THE GENERAL POST OFFICE is the largest post office in the world. It covers 2 city blocks from 31st Street to 33rd and from 8th to 9th Avenue. It houses 18,000 employees, makes 26 collections and 3 to 4 deliveries a day."
NEW YORK STATE,NEW YORK CITY,POINTS OF INTEREST IN NEW YORK CITY,"THE HOLLAND TUNNEL is the busiest vehicular tunnel in the world. Starts at Canal Street in New York and ends at 12th Street, Jersey City; N. J. This tunnel contains 2 tubes; one for West bound and the other for East bound traffic; each 2 tubes wide. The toll is 50c per car."
NEW YORK STATE,NEW YORK CITY,POINTS OF INTEREST IN NEW YORK CITY,"THE TRI-BOROUGH BRIDGE, which connects three of the boroughs of Greater New York (Manhattan, Bronx, Queens). This bridge is 17 1/2 miles long and is the most direct route to the New York World's Fair. The toll charge is 25c."
NEW YORK STATE,NEW YORK CITY,POINTS OF INTEREST IN NEW YORK CITY,"CHINATOWN, at the Bowery and Chatham Square, is New York's Oriental section.  Sight seeing busses will take visitors there from Times Square. Showing the Bloody Corner at Pell and Mott Streets which has been the place of countless murders caused by the rivalry of the Leong and Hip Sing Tongs."
NEW YORK STATE,NEW YORK CITY,POINTS OF INTEREST IN NEW YORK CITY,"THE HAYDEN PLANETARIUM, which is located in the American Museum of Natural History at 81st Street and Central Park West can be seen ""The Drama of the Skies."" The most interesting feature of the Planetarium is the ""Hall of the Sun."" which shows the Solar System. There are six performances daily starting at 11 A. M. except Sunday and holidays. On these days the show starts at 10 A. M. The admission is 25c, 11 to 5 o'clock; evenings 8:30, 35c; 25c at 5 P. M. Saturday, Sunday and holidays. Children under 17 years of age 15c at all times. Reserved seats 50c and 60c."
NEW YORK STATE,NEW YORK CITY,POINTS OF INTEREST IN NEW YORK CITY,"ROCKEFELLER CENTER  largest building project ever undertaken by private capital. Is situaed between 5th and 6th Avenue at 48th and 51st Streets, and occupies 12 acres. The tallest building in the group is the R. C. A. Building and is 70 stories tall and houses the National Broadcasting Co. On the West of Rockefeller Center is the Radio City Music Hall R. K. O. Building R. C. A. Building west and the Center Theatre, also Radio City which is named in honor of the Radio Corporation of America. On the Fifth Avenue side will be found the Le Maison Francaise, British Empire Building, Italian Building and the six story extension of the International Building."
NEW YORK STATE,ELMIRA,HOTELS,Wilson - 307 E. Clinton St.
NEW YORK STATE,ELMIRA,TOURIST HOMES,Mrs. J. A. Wilson - 307 E. Clinton St.
NEW YORK STATE,ITHACA,NIGHT CLUBS,Elks Rest - Tioga St.
NEW YORK STATE,JAMESTOWN,TOURIST HOMES,Mrs. I. W. Herald - 51 W. 10th St.
NEW YORK STATE,JAMESTOWN,TOURIST HOMES,Mrs. J. M. Brown - 108 W. 11th St.
NEW YORK STATE,JAMESTOWN,TOURIST HOMES,Mrs. C. Majors - 906 Jefferson St.
NEW YORK STATE,KINGSTON,RESTAURANTS,Jackson Bros. - 15 Cornell St.
NEW YORK STATE,NIAGARA FALLS,TOURIST HOMES,FAIRVIEW 413 MAIN ST.
NEW YORK STATE,NIAGARA FALLS,BEAUTY PARLORS,La Belle - Erie Ave.
NEW YORK STATE,NIAGARA FALLS,BEAUTY PARLORS,The Parker House - 627 Erie Ave.
NEW YORK STATE,NIAGARA FALLS,BARBER SHOPS,Ashford - Erie Ave.
NEW YORK STATE,NIAGARA FALLS,BARBER SHOPS,Garland - Erie Ave.
NEW YORK STATE,NIAGARA FALLS,TAVERNS,Sunset Cafe - 619 Erie Ave.
NEW YORK STATE,NIAGARA FALLS,TAVERNS,Chef. W. Martin - 609 Erie Ave.
NEW YORK STATE,NIAGARA FALLS,GARAGES,Smith & Bradberry - 352 - 1st St.
NEW YORK STATE,PORT JERVIS,TOURIST HOMES,R. Pendleton - 26 Bruce St.
NEW YORK STATE,PORT JERVIS,TOURIST HOMES,John Scott - 28 Bruce St.
NEW YORK STATE,POUGHKEEPSIE,TOURIST HOMES,Mrs. R. Sullivan - 14 Gregory Ave.
NEW YORK STATE,POUGHKEEPSIE,TOURIST HOMES,Mrs. S. Osterholt - 16 Crannell St.
NEW YORK STATE,POUGHKEEPSIE,TOURIST HOMES,Mrs. S. Le Fever - 217 Union
NEW YORK STATE,POUGHKEEPSIE,TOURIST HOMES,G. W. Hayes - 93 N. Hamilton
NEW YORK STATE,ROCHESTER,HOTELS,The Freeman House - 112 Industrial  St.
NEW YORK STATE,ROCHESTER,HOTELS,Gibson - 461 Clarissa St.
NEW YORK STATE,ROCHESTER,HOTELS,Johnson - 86 Industrial St.
NEW YORK STATE,ROCHESTER,TOURIST HOMES,Mrs. G. W. Burks - 221 Columbia Ave.
NEW YORK STATE,ROCHESTER,TOURIST HOMES,Mrs. Latimer - 179 Clarissa St.
NEW YORK STATE,ROCHESTER,NIGHT CLUBS,THE COTTON CLUB 222 JOSEPH AVE.
NEW YORK STATE,SCHENECTADY,HOTELS,Clefton - 516 Broadway
NEW YORK STATE,SCHENECTADY,TOURIST HOMES,R. Rhinehart - 125 S. Church St.
NEW YORK STATE,SCHENECTADY,TOURIST HOMES,S. Kearney - 357 Vedder Ave.
NEW YORK STATE,SCHENECTADY,TOURIST HOMES,G. D. Thomas - 123 S. Church St.
NEW YORK STATE,SYRACUSE,RESTAURANT & GRILL,Choice Foods
NEW YORK STATE,SYRACUSE,HOTELS,THE SAVOY HOTEL 518 E. WASHINGTON ST.
NEW YORK STATE,SYRACUSE,HOTELS,Almond House - 210 Almond St.
NEW YORK STATE,SYRACUSE,HOTELS,TOURIST HOMES
NEW YORK STATE,SYRACUSE,HOTELS,W. R. Farrish - 809 E. Fayette St.
NEW YORK STATE,SYRACUSE,TOURIST HOMES,Broad St. Inn - 415 Broad St.
NEW YORK STATE,SYRACUSE,TOURIST HOMES,Mrs. S. Burns - 314 Broad St.
NEW YORK STATE,SYRACUSE,TOURIST HOMES,The Howard Home - 413 Broad St.
NEW YORK STATE,WATERTOWN,TOURIST HOMES,E. F. Thomas - 123 Union St.
NEW YORK STATE,WATERTOWN,TOURIST HOMES,V. H. Brown - 502 Binase St.
NEW YORK STATE,WATERTOWN,TOURIST HOMES,G. E. Depuy - 710 Morrison St.
NEW MEXICO,LAS CRUGES,TOURIST HOMES,Mrs. R. Bennett - 521 N. Church St.
NEW MEXICO,ROSWELL,RESTAURANTS,Sunset Cafe - 115 E. Walnut
NORTH CAROLINA,ASHEVILLE,HOTELS,Y. W. C. A. - 360 College St.
NORTH CAROLINA,ASHEVILLE,RESTAURANTS,Palace Grill - 19 Eagle St.
NORTH CAROLINA,CARTHAGE,HOTELS,Carthage Hotel
NORTH CAROLINA,CHARLOTTE,HOTELS,Sanders - 2nd St.
NORTH CAROLINA,CHARLOTTE,TAVERNS,Shaws' Cafe - 724 Mint St.
NORTH CAROLINA,DURHAM,HOTELS,Biltmore - E. Pettigrew St.
NORTH CAROLINA,DURHAM,HOTELS,Jones - 502 Ramsey St.
NORTH CAROLINA,DURHAM,TAVERNS,Hollywood - 118 S. Mangum St.
NORTH CAROLINA,DURHAM,BEAUTY PARLORS,De Shazors - 809 Fayette St.
NORTH CAROLINA,DURHAM,BEAUTY PARLORS,D'Orsay - 120 S. Mangum St.
NORTH CAROLINA,DURHAM,SERVICE STATIONS,Midway - Pine & Poplar Sts.
NORTH CAROLINA,DURHAM,SERVICE STATIONS,Pine Street - 1102 Pine St.
NORTH CAROLINA,ELIZABETH CITY,TAVERNS,Blue Duck Inn - 404 1/2 Ehringhaus Street
NORTH CAROLINA,FAYETTEVILLE,HOTELS,Bedford Inn - 203 Moore St.
NORTH CAROLINA,FAYETTEVILLE,HOTELS,Restful Inn - 418 Gillespie St.
NORTH CAROLINA,FAYETTEVILLE,TAVERNS,Bedford Inn - 203 Moore St.
NORTH CAROLINA,FAYETTEVILLE,TAVERNS,Big Buster - Gillespie St.
NORTH CAROLINA,FAYETTEVILLE,BARBER SHOPS,Delux - Person St.
NORTH CAROLINA,FAYETTEVILLE,BEAUTY PARLORS,Mrs. Brown - Person ST.
NORTH CAROLINA,GASTONIA,HOTELS,Union Sq.
NORTH CAROLINA,GOLDSBORO,ROAD HOUSES,Anchor Inn -
NORTH CAROLINA,GREENSBORO,HOTELS,Travelers Inn - 612 E. Market St.
NORTH CAROLINA,GREENSBORO,HOTELS,Legion Club - 829 E. Market St.
NORTH CAROLINA,GREENSBORO,HOTELS,Dixie - 423 Lindsay St.
NORTH CAROLINA,GREENSBORO,TOURIST HOMES,"T. Daniel, 912 E. Market"
NORTH CAROLINA,GREENSBORO,TOURIST HOMES,"Mrs. E. Evans, 906 E. Market"
NORTH CAROLINA,GREENSBORO,TOURIST HOMES,Mrs. Lewis - 829 E. Market St.
NORTH CAROLINA,GREENSBORO,TOURIST HOMES,L. W. Wooten - 423 Lindsay ST.
NORTH CAROLINA,GREENSBORO,TAVERNS,Paramount - 907 E. Market St.
NORTH CAROLINA,GREENSBORO,TAVERNS,Roof Garden - 901 1/2 E. Market St.
NORTH CAROLINA,GREENSBORO,TAILORS,Shoffners' - 922 E. Market St.
NORTH CAROLINA,HENDERSON,TOURIST HOMES,Mrs. Betch - 219 Rockspring St.
NORTH CAROLINA,HENDERSON,TAXICABS,Green & Chavis - 720 Eaton St.
NORTH CAROLINA,LITTLETON,HOTELS,Youngs Hotel
NORTH CAROLINA,MT. OLIVE,RESTAURANTS,Black Beauty Tea Room
NORTH CAROLINA,NEW BERN,HOTELS,Rhone - 42 Queen St.
NORTH CAROLINA,NEW BERN,TOURIST HOMES,"H. C. Sparrow, 68 West St."
NORTH CAROLINA,NEW BERN,TAVERNS,Palm Garden - 192 Broad St.
NORTH CAROLINA,LEXINGTON,SERVICE STATIONS,D. T. Taylor - Esso Service
NORTH CAROLINA,RALEIGH,HOTELS,Arcade
NORTH CAROLINA,RALEIGH,HOTELS,Lewis - 220 E. Cabarrus
NORTH CAROLINA,RALEIGH,TOURIST HOMES,L. B. Yeargan - 210 E. Cabarrus
NORTH CAROLINA,RALEIGH,TAVERNS,Savoy - 410 S. Blount St.
NORTH CAROLINA,SANFORD,HOTELS,Philipps - Pearl St.
NORTH CAROLINA,SALISBURY,TAXICABS,Safety - 122 N. Lee St.
NORTH CAROLINA,SUMTER,TAVERNS,Silver Moon - 20 W. Liberty St.
NORTH CAROLINA,WILSON,HOTELS,Biltmore - E. Washington St.
NORTH CAROLINA,WILSON,HOTELS,The Wilson Biltmore - 539 E. Nash
NORTH CAROLINA,WILSON,TAXICABS,M. Jones - 1209 E. Queen St.
NORTH CAROLINA,WINDSOR,TOURIST HOMES,W. Payton -
NORTH CAROLINA,WINSTON - SALEM,HOTELS,Y. M. C. A. - 410 N. Church st.
NORTH CAROLINA,WINSTON - SALEM,HOTELS,Lincoln - 9 E. 3rd St.
NORTH CAROLINA,WINSTON - SALEM,TOURIST HOMES,Ch. H. Jones - 1611 E. 14th St.
NORTH CAROLINA,WINSTON - SALEM,TOURIST HOMES,"Mrs. J. Penn, 115 N. Ridge Ave."
NORTH CAROLINA,WINSTON - SALEM,TOURIST HOMES,"Mrs. H. L. Christian, 302 E. 9th St."
NORTH CAROLINA,WINSTON - SALEM,TOURIST HOMES,"Mrs. N. Jones, 859 N Liberty St."
NORTH CAROLINA,WINSTON - SALEM,TOURIST HOMES,"R. B. Williams, 1225 N. Ridge Ave."
NORTH CAROLINA,WINSTON - SALEM,NIGHT CLUBS,Club 709 - 709 Patterson Ave.
NORTH CAROLINA,WINSTON - SALEM,TAXICABS,Sam Harris - 6th & Patterson Ave.
NORTH CAROLINA,WINSTON - SALEM,TAXICABS,Reliable - 430 N. Church St.
NORTH CAROLINA,WINSTON - SALEM,TAXICABS,Diamond - 301 N. Church St.
NORTH CAROLINA,WASHINGTON,DRUG STORES,Lloyd's - 408 Gladden St.
NORTH CAROLINA,WELDON,HOTELS,Pope
NORTH CAROLINA,WELDON,HOTELS,Terminal Inn - Washington Ave.
NORTH CAROLINA,WILMINGTON,HOTELS,Paynes - 417 N. 6th St.
NORTH CAROLINA,WILMINGTON,TAXICABS,Tom's Taxi
OHIO,AKRON,HOTELS,Garden City - Howard & Furnace Sts.
OHIO,AKRON,HOTELS,Mathews - 77 N. Howard St.
OHIO,AKRON,HOTELS,The Upperman - 197 Bluff St.
OHIO,AKRON,HOTELS,Green Turtle - Federal & Howard Sts.
OHIO,AKRON,TOURIST HOMES,C. McQueen - 645 Moon St.
OHIO,AKRON,TAVERNS,Brook's - 42 N. Howard St.
OHIO,AKRON,BEAUTY PARLORS,Beauty Salon - 70 N. Howard St.
OHIO,AKRON,SERVICE STATIONS,Zuber's - 47 Cuyahoga St.
OHIO,ALLIANCE,TOURIST HOMES,Mrs. H. Baber - 507 N. Liberty A.
OHIO,ALLIANCE,TOURIST HOMES,Mrs. W. Jackson - 774 N. Webb A.
OHIO,CANTON,RESTAURANTS,Hunters - 527 Cherry Ave. S. E.
OHIO,CANTON,BARBER SHOPS,Barbes - 525 Cherry Ave. S. E.
OHIO,CANTON,DRUGGIST,Southside - 415 Cherry Ave. S. E.
OHIO,CANTON,BEAUTY PARLORS,Vanitie Shop - 528 Cherry Ave. S. E.
OHIO,CINCINNATI,HOTELS,Y. W. C. A. - 702 W. 8th St.
OHIO,CINCINNATI,HOTELS,Terminal - 1103 Hopkins St.
OHIO,CINCINNATI,HOTELS,Cotton Club -
OHIO,CINCINNATI,HOTELS,Steeling 6 & Mound Sts.
OHIO,CINCINNATI,HOTELS,Cordella - 612 N. 6th St.
OHIO,CINCINNATI,HOTELS,Manse - 1004 Chapel St.
OHIO,CINCINNATI,TOURIST HOMES,O. Steele - 3065 Kerper Ave.
OHIO,CINCINNATI,RESTAURANTS,New Candle Light - 1004 Chapel St.
OHIO,CINCINNATI,TAVERNS,Edgemont Inn - 2950 Gilbert Ave.
OHIO,CINCINNATI,TAVERNS,The Delmae - 2945 Gilbert Ave.
OHIO,CINCINNATI,TAVERNS,Candle Light - 1004 Chaple St.
OHIO,CINCINNATI,TAVERNS,Travelers Inn - 1115 Hopkins St.
OHIO,CINCINNATI,DRUG STORES,Sky Pharmacy - 5th & John St.
OHIO,CINCINNATI,BARBER SHOPS,Collegiate - 906 Churchill
OHIO,CINCINNATI,BEAUTY PARLORS,Efficiency - 878 Beecher
OHIO,CINCINNATI,BEAUTY PARLORS,The Hosmer - 920 Churchhill Ave.
OHIO,CLEVELAND,HOTELS,"WARD APARTMENT, 4113 CEDAR AVE"
OHIO,CLEVELAND,TOURIST HOMES,Mrs. McCray - 2416 E. 40th St.
OHIO,CLEVELAND,BEAUTY PARLORS,WILKIN SCHOOL OF COSMETOLOGY
OHIO,CLEVELAND,BEAUTY PARLORS,PHILLIS WHEATLY BLDG.
OHIO,CLEVELAND,TAVERNS,LOG CABIN - 2294 EAST 55TH ST.
OHIO,CLEVELAND,TAVERNS,Vim Lunch - 310 W. Superior Ave.
OHIO,CLEVELAND,SERVICE STATIONS,WRIGHTS SOHIO SERVICE
OHIO,CLEVELAND,GARAGES,"Rollin, E. 40th & Central"
OHIO,CLEVELAND,GARAGES,Sykes' - 8708 Cedar Ave.
OHIO,COLUMBUS,HOTELS,Hawkins - 65 N. Monroe Ave.
OHIO,COLUMBUS,RESTAURANTS,"JETERS RESTAURANT, 780 MT. VERNON AVE."
OHIO,COLUMBUS,SERVICE STATIONS,Peyton Sohio's - E. Long at Monroe
OHIO,COLUMBUS,TOURIST HOMES,Madonna Apts. - 1477 E. Long St.
OHIO,COSHOCTON,RESTAURANTS,Ben Whites' - 107 N. 2nd St.
OHIO,COSHOCTON,TOURIST HOMES,B. Lawrence - 206 Norwood St.
OHIO,LIMA,TOURIST HOMES,Sol Downton - 1107 W. Spring St.
OHIO,LIMA,TOURIST HOMES,Edward Holt - 406 E. High St.
OHIO,LIMA,TOURIST HOMES,Amos Turner - 1215 W. Spring ST.
OHIO,LIMA,TOURIST HOMES,George Cook - 230 S. Union St.
OHIO,LORAIN,TOURIST HOMES,B. H. Tapsico .... 115 W. 17th St.
OHIO,LORAIN,TOURIST HOMES,Mrs. Alex Cooley - 114 W. 26th
OHIO,LORAIN,TOURIST HOMES,Smith's Manor - on - Erie Beach
OHIO,LORAIN,TOURIST HOMES,Mrs. W. H. Redmond - 201 E. 22nd
OHIO,LORAIN,TOURIST HOMES,Mrs. Elishe Worthington - 209 W. 16th St.
OHIO,LORAIN,TOURIST HOMES,Porter Wood - 1759 Broadway
OHIO,LORAIN,TOURIST HOMES,H. P. Jackson - 2383 Apple Ave.
OHIO,MARIETTA,HOTELS,St. James - Butler St.
OHIO,MARIETTA,TOURIST HOMES,Mrs. E. Jackson - 213 Church St
OHIO,NEWARK,TOURIST HOMES,Mrs. I. Ransom - 78 Hoover St.
OHIO,OBERLIN,HOTELS,Oberlin Inn - College & Main
OHIO,SPRINGFIELD,HOTELS,"Posey, 209 S. Fountain Ave."
OHIO,SPRINGFIELD,HOTELS,Y. M. C. A. - Center St:
OHIO,SPRINGFIELD,HOTELS,Y. W. C. A. - Clarke St:
OHIO,SPRINGFIELD,TOURIST HOMES,Mrs. M. E. Wilborn - 220 Fair St.
OHIO,SPRINGFIELD,TOURIST HOMES,Mrs. H. Sydes - 902 S. Yellow Spring St.
OHIO,SPRINGFIELD,TOURIST HOMES,Mrs. C. Seward - 1090 Mound St.
OHIO,SPRINGFIELD,RESTAURANTS,The Elite - So. Center St.
OHIO,SPRINGFIELD,NIGHT CLUBS,The Elks - So. Yellow Spring St.
OHIO,SPRINGFIELD,BEAUTY PARLORS,Louise - 902 Innesfallen Ave.
OHIO,SPRINGFIELD,BARBER SHOPS,Payde's - So. Center St.
OHIO,SPRINGFIELD,GARAGES,Green's - 1100 S. Yellow Spring St.
OHIO,SPRINGFIELD,SERVICE STATIONS,Underwood - 1303 S. Yellow Spring
OHIO,STEUBENVILLE,TOURIST HOMES,W. Jackson - 648 Adam St.
OHIO,STEUBENVILLE,TOURIST HOMES,Mrs. L. Martin - 508 Ross St.
OHIO,STEUBENVILLE,TOURIST HOMES,D.H. Madison - 953 Sherman Ave.
OHIO,STEUBENVILLE,TOURIST HOMES,H. Jackson - 650 Adam St.
OHIO,TOLEDO,HOTELS,Y.M.C.A. - 669 Indiana Ave.
OHIO,TOLEDO,HOTELS,"Pleasant, 15 N. Erie St."
OHIO,TOLEDO,TOURIST HOMES,G. Davis - 532 Woodland Ave.
OHIO,TOLEDO,TOURIST HOMES,J.F. Watson - 399 Pinewood Ave.
OHIO,TOLEDO,TOURIST HOMES,Mrs. B. McWilliams - 624 Pinewood Ave.
OHIO,YOUNGSTOWN,HOTELS,Y.M.C.A. - 962 W. Federal St.
OHIO,ZANESVILLE,HOTELS,"Park, 1561 W. Main St."
OHIO,ZANESVILLE,HOTELS,Stevens - 1561 W. Main St.
OHIO,ZANESVILLE,TOURIST HOMES,Mrs. A. M. Thomas - 12 Sharon Ave.
OHIO,ZANESVILLE,TOURIST HOMES,L. E. Coston - 1545 N. Main St.
OHIO,WARREN,RESTAURANTS,Cocktail Baar - 644 Pine Ave. S. E.
OKLAHOMA,ENID,TOURIST HOMES,McFall's Apartments 202 E. Park St.
OKLAHOMA,ENID,TOURIST HOMES,Allen Crumb - 222 E. Park St.
OKLAHOMA,ENID,TOURIST HOMES,Mrs. Eliza Baty - 520 E. State St.
OKLAHOMA,ENID,TOURIST HOMES,Mrs. Ware - 712 E. Park St.
OKLAHOMA,ENID,TOURIST HOMES,Mrs. Ed. Johnson - 210 E. Market St.
OKLAHOMA,ENID,TOURIST HOMES,Edwards - 222 E. Park St.
OKLAHOMA,ENID,ROAD HOUSES,Cabbell - 5th & Ohio Sts.
OKLAHOMA,ENID,NIGHT CLUBS,Cabbells - S. 4th St.
OKLAHOMA,ENID,BARBER SHOPS,Baker - 418 E. Wabash
OKLAHOMA,ENID,SERVICE STATIONS,Vandorf - Broadway & Washington
OKLAHOMA,GUTHRIE,TOURIST HOMES,Mrs. Celia James - 1002 E. Springer Ave.
OKLAHOMA,GUTHRIE,TOURIST HOMES,Mrs. M. A. Smith - 317 S. 2nd St.
OKLAHOMA,GUTHRIE,TOURIST HOMES,Mrs. Martha Jordan - 304 S. 2nd St.
OKLAHOMA,MUSKOGEE,HOTELS,Elliot's - 111 1/2 S. 2nd St.
OKLAHOMA,MUSKOGEE,HOTELS,Bozeman
OKLAHOMA,MUSKOGEE,HOTELS,Peoples - 316 N. 2nd St.
OKLAHOMA,MUSKOGEE,TAVERN,Crazy Rock Inn - 318 N. 2nd St.
OKLAHOMA,OKLAHOMA CITY,HOTELS,Hall - 308 1/2 N. Central
OKLAHOMA,OKLAHOMA CITY,HOTELS,Littlepage - 219 N. Central St.
OKLAHOMA,OKLAHOMA CITY,HOTELS,New Acacia - 323 E. 2nd St.
OKLAHOMA,OKLAHOMA CITY,HOTELS,Parker - 1st & Stiles
OKLAHOMA,OKLAHOMA CITY,HOTELS,M. & M 219 N. Central
OKLAHOMA,OKLAHOMA CITY,HOTELS,Magnolia Inn - 629 E. 4th
OKLAHOMA,OKLAHOMA CITY,HOTELS,William Rooms - 323 E. 2nd St.
